,score,names_wiki+googleart+wga+meisterwerke+moma+artuk,dates_wiki+googleart+wga+meisterwerke+moma+artuk,names_rijks,dates_rijks,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma+artuk,artist_id_rijks,idx,total_works_count,year_diff
615,100,"[allori, alessandro, alessandro allori, allori, allessandro]","[1535, 1607]","[alessandro allori, allori, alessandro]","[1535, 1609]",1,"artuk_allori, alessandro, (1535-1607)",rijks_rjgd-alessandro-allori,"(4452, 215)",52,"[0, 2]"
187,100,"[cristofano allori, allori, cristofano]","[1577, 1621]","[allori, cristofano, cristofano allori]","[1510, 1621]",1,"artuk_allori, cristofano, (1577-1621)",rijks_rjgd-cristofano-allori,"(2670, 980)",21,"[67, 0]"
513,100,"[apollonio di giovanni di tommaso, apollonio di giovanni]","[1414, 1465]",[apollonio di giovanni],"[1450.0, 1450.0]",1,"artuk_apollonio di giovanni di tommaso, (1415-1465)",rijks_rjgd-apollonio-di-giovanni,"(4017, 409)",12,"[36.0, 15.0]"
295,100,"[barocci, federigo, fiori da urbino, barocci, federico fiori, baroccio, federigo, barocci, federico, federico barocci, fiori, federico, barocio, federico, il fiori da urbino, il fiori]","[1535, 1612]","[barocci, federico, federico barocci]","[1528, 1612]",1,"artuk_barocci, federico, (1535-1612)",rijks_rjgd-federico-barocci,"(3071, 1307)",151,"[7, 0]"
41,100,"[giovanni bellini, bellini, giovanni]","[1426, 1516]","[bellini, giovanni, giovanni bellini]","[1430, 1516]",1,"artuk_bellini, giovanni, (1431-1516)",rijks_rjgd-giovanni-bellini,"(800, 1764)",352,"[4, 0]"
16,100,"[bellotto, bernardo, bernardo bellotto, canaletto (ii), bernardo francesco paolo ernesto bellotto]","[1720, 1780]","[bellotto, bernardo, bernardo bellotto]","[1721, 1780]",1,"artuk_bellotto, bernardo, (1722-1780)",rijks_rjgd-bernardo-bellotto,"(263, 577)",319,"[1, 0]"
280,100,"[abraham bloemaert, bloemaert, abraham]","[1564, 1651]","[abraham bloemaert, bloemaert, abraham]","[1512, 1651]",1,"artuk_bloemaert, abraham, (1566-1651)",rijks_rjgd-abraham-bloemaert,"(3042, 39)",204,"[52, 0]"
355,100,"[boilly, louis léopold, boilly, louis-léopold, louis-léopold boilly]","[1761, 1845]","[boilly, louis-léopold, louis-léopold boilly]","[1707, 1845]",1,"artuk_boilly, louis-léopold, (1761-1845)",rijks_rjgd-louis-léopold-boilly,"(3326, 3603)",58,"[54, 0]"
429,100,"[bol, ferdinand, ferdinand bol]","[1616, 1680]","[bol, ferdinand, ferdinand bol]","[1606, 1680]",1,"artuk_bol, ferdinand, (1616-1680)",rijks_rjgd-ferdinand-bol,"(3674, 1314)",181,"[10, 0]"
1019,94,"[borsseler, pieter]","[1664.0, 1700.0]","[borselaer, pieter, pieter borselaer]","[1664.0, 1683.0]",1,"artuk_borsseler, pieter, (active 1664-1687)",rijks_rjgd-pieter-borselaer,"(12485, 4385)",15,"[0.0, 17.0]"
671,100,"[botticini, francesco]","[1446, 1497]","[botticini, francesco, francesco botticini]","[1470.0, 1470.0]",1,"artuk_botticini, francesco, (1446-1497)",rijks_rjgd-francesco-botticini,"(5873, 1334)",13,"[24.0, 27.0]"
571,100,"[camphuysen, govert dircksz., govert dircksz camphuysen]","[1623, 1672]","[camphuysen, govert dircksz., govert dircksz. camphuysen]","[1624, 1672]",1,"artuk_camphuysen, govert dircksz., (1623-1672)",rijks_rjgd-govert-dircksz.-camphuysen,"(4255, 1856)",16,"[1, 0]"
1071,89,"[annibale carracci, carracci, annibale]","[1560, 1609]","[a. carracci, carracci, a.]","[1567.0, 1570.0]",0,"artuk_carracci, annibale, (1560-1609)",rijks_rjgd-a.-carracci,"(5, 157)",339,"[7.0, 39.0]"
10,100,"[annibale carracci, carracci, annibale]","[1560, 1609]","[annibale carracci, carracci, annibale]","[1511, 1609]",1,"artuk_carracci, annibale, (1560-1609)",rijks_rjgd-annibale-carracci,"(157, 309)",352,"[49, 0]"
317,100,"[cavaliere d'arpino, cesari, giuseppe, giuseppe cesari]","[1568, 1640]","[cesari, giuseppe, giuseppe cesari]","[1502, 1640]",1,"artuk_cesari, giuseppe, (1568-1640)",rijks_rjgd-giuseppe-cesari,"(3124, 1827)",57,"[66, 0]"
376,100,"[carlo cignani, cignani, carlo]","[1628, 1719]","[carlo cignani, cignani, carlo]","[1605, 1719]",1,"artuk_cignani, carlo, (1628-1719)",rijks_rjgd-carlo-cignani,"(3429, 663)",20,"[23, 0]"
21,100,"[cima da conegliano, giovanni battista, giovanni battista cima, cima da conegliano]","[1459, 1518]","[cima da conegliano, giovanni battista, giovanni battista cima da conegliano]","[1512.0, 1512.0]",1,"artuk_cima da conegliano, giovanni battista, (1459-1517)",rijks_rjgd-giovanni-battista-cima-da-conegliano,"(383, 1740)",95,"[53.0, 6.0]"
1458,89,"[cima da conegliano, giovanni battista, giovanni battista cima, cima da conegliano]","[1459, 1518]","[cungi, giovanni battista, giovanni battista cungi]","[1500.0, 1500.0]",0,"artuk_cima da conegliano, giovanni battista, (1459-1517)",rijks_rjgd-giovanni-battista-cungi,"(1744, 383)",95,"[41.0, 18.0]"
1020,100,"[colonia, adam]","[1634, 1685]","[adam colonia, colonia, adam]","[1608, 1685]",1,"artuk_colonia, adam, (1634-1685)",rijks_rjgd-adam-colonia,"(12987, 100)",7,"[26, 0]"
1021,100,"[cooper, samuel]","[1609, 1672]","[cooper, samuel, samuel cooper]","[1608, 1672]",1,"artuk_cooper, samuel, (1609-1672)",rijks_rjgd-samuel-cooper,"(13032, 4702)",20,"[1, 0]"
1023,100,"[corneille de lyon, claude]","[1510, 1574]",[corneille de lyon],"[1520.0, 1575]",1,"artuk_corneille de lyon, claude, (1510-1574)",rijks_rjgd-corneille-de-lyon,"(13055, 845)",21,"[10.0, 1]"
1022,100,"[corneille de lyon, claude]","[1510, 1574]","[claude corneille, corneille, claude]","[1533.0, 1533.0]",1,"artuk_corneille de lyon, claude, (1510-1574)",rijks_rjgd-claude-corneille,"(13055, 806)",20,"[23.0, 41.0]"
711,100,"[courtois, jacques, le bourguignon]","[1621, 1676]","[courtois le bourguignon, jacques, jacques courtois le bourguignon]","[1621, 1675]",1,"artuk_courtois, jacques, (1621-1676)",rijks_rjgd-jacques-courtois-le-bourguignon,"(6155, 2539)",33,"[0, 1]"
710,100,"[courtois, jacques, le bourguignon]","[1621, 1676]","[courtois, jacques, jacques courtois]","[1602, 1676]",0,"artuk_courtois, jacques, (1621-1676)",rijks_rjgd-jacques-courtois,"(6155, 2538)",35,"[19, 0]"
3,100,"[aelbert jacobsz cuyp, cuyp, aelbert, aelbert cuyp]","[1620, 1691]","[aelbert cuyp, cuyp, aelbert]","[1610, 1691]",1,"artuk_cuyp, aelbert, (1620-1691)",rijks_rjgd-aelbert-cuyp,"(25, 170)",275,"[10, 0]"
274,100,"[heem, jan davidsz. de, heem, jan davidsz de, jan davidsz. de heem, de heem, jan davidsz.]","[1606, 1684]","[heem, jan davidsz. de, jan davidsz. de heem]","[1604, 1684]",1,"artuk_de heem, jan davidsz., (1606-1684)",rijks_rjgd-jan-davidsz.-de-heem,"(3031, 2640)",92,"[2, 0]"
1024,100,"[hooch, charles cornelisz. de, hooch, carel de, hooghe, charles cornelisz. de, hoogh, karel, de hooch, carel cornelisz., hoogh, charles cornelisz. de, hoogh, charles d', hooch, charles de]","[1628, 1638]","[charles cornelisz. de hooch, hooch, charles cornelisz. de]","[1606, 1638]",1,"artuk_de hooch, carel cornelisz., (1600-1638)",rijks_rjgd-charles-cornelisz.-de-hooch,"(13259, 699)",13,"[22, 0]"
384,100,"[thomas de keyser, de keyser, thomas, keyser, thomas de]","[1596, 1667]","[keyser, thomas de, thomas de keyser]","[1597, 1667]",1,"artuk_de keyser, thomas, (1596-1667)",rijks_rjgd-thomas-de-keyser,"(3463, 4845)",44,"[1, 0]"
312,100,"[largilliere, nicolas de, de largillière, nicolas, largillière, nicolas de, nicolas de largillière]","[1656, 1746]","[largillière, nicolas de, nicolas de largillière]","[1610, 1746]",1,"artuk_de largillière, nicolas, (1656-1746)",rijks_rjgd-nicolas-de-largillière,"(3107, 4112)",63,"[46, 0]"
1025,93,"[de vos, maarten]","[1532, 1603]","[maerten de vos, vos, maerten de]","[1532, 1612]",1,"artuk_de vos, maarten, (1532-1603)",rijks_rjgd-maerten-de-vos,"(13282, 3679)",25,"[0, 9]"
722,100,"[decker, cornelis gerritsz., decker, cornelis gerritsz]","[1618, 1678]","[cornelis gerritsz decker, decker, cornelis gerritsz]","[1620, 1678]",1,"artuk_decker, cornelis gerritsz., (1623-1678)",rijks_rjgd-cornelis-gerritsz-decker,"(6218, 902)",18,"[2, 0]"
1026,98,"[dubbels, hendrik jacobsz.]","[1621, 1707]","[dubbels, hendrick jacobsz., hendrick jacobsz. dubbels]","[1605, 1710]",1,"artuk_dubbels, hendrik jacobsz., (1621-1707)",rijks_rjgd-hendrick-jacobsz.-dubbels,"(13403, 1992)",17,"[16, 3]"
1027,100,"[dubois, simon]","[1632, 1708]","[dubois, simon, simon dubois]","[1607, 1708]",1,"artuk_dubois, simon, (1632-1708)",rijks_rjgd-simon-dubois,"(13404, 4749)",14,"[25, 0]"
339,100,"[gaspard poussin, dughet, gaspard, gaspard dughet]","[1615, 1675]","[dughet, gaspard, gaspard dughet]","[1606, 1675]",1,"artuk_dughet, gaspard, (1615-1675)",rijks_rjgd-gaspard-dughet,"(3239, 1547)",123,"[9, 0]"
737,100,"[dusart, cornelis]","[1660, 1704]","[cornelis dusart, dusart, cornelis]","[1604, 1710]",1,"artuk_dusart, cornelis, (1660-1704)",rijks_rjgd-cornelis-dusart,"(6302, 891)",106,"[56, 6]"
5,100,"[albrecht durer, albrecht dürer, dürer, albrecht]","[1471, 1528]","[albrecht dürer, dürer, albrecht]","[1405, 1528]",1,"artuk_dürer, albrecht, (1471-1528)",rijks_rjgd-albrecht-dürer,"(64, 212)",2549,"[66, 0]"
432,100,"[elsheimer, adam, adam elsheimer]","[1578, 1610]","[adam elsheimer, elsheimer, adam]","[1503, 1612]",1,"artuk_elsheimer, adam, (1578-1610)",rijks_rjgd-adam-elsheimer,"(3679, 101)",79,"[75, 2]"
374,100,"[gaudenzio ferrari, ferrari, gaudenzio]","[1470, 1546]","[ferrari, gaudenzio, gaudenzio ferrari]","[1480, 1546]",1,"artuk_ferrari, gaudenzio, (1470-1546)",rijks_rjgd-gaudenzio-ferrari,"(3425, 1551)",43,"[10, 0]"
363,96,"[fetti, domenico, domenico fetti]","[1588, 1624]","[domenico feti, feti, domenico]","[1589, 1624]",1,"artuk_fetti, domenico, (1589-1624)",rijks_rjgd-domenico-feti,"(3369, 1164)",44,"[1, 0]"
1028,100,"[fielding, anthony v. c., fielding, copley, copley-fielding, anthony vandye, fielding, c., fielding, anthony vandyck copley, copley-fielding, a. v., fielding, anthony copley vandyke, fielding, anthony vandyke copley]","[1787, 1855]","[anthony vandyke copley fielding, fielding, anthony vandyke copley]","[1711, 1855]",1,"artuk_fielding, anthony v. c., (1787-1855)",rijks_rjgd-anthony-vandyke-copley-fielding,"(13604, 339)",27,"[76, 0]"
1029,89,"[fielding, frederick felix ferdinand raffael, fielding, raffael, fielding, f. f.]","[1784, 1853]","[anthony vandyke copley fielding, fielding, anthony vandyke copley]","[1711, 1855]",0,"artuk_fielding, frederick felix ferdinand raffael, (1784-1853)",rijks_rjgd-anthony-vandyke-copley-fielding,"(13606, 339)",3,"[73, 2]"
1030,100,[fra bartolommeo],"[1472, 1517]",[bartolommeo (fra)],"[1403, 1517]",1,"artuk_fra bartolommeo, (1472-1517)",rijks_rjgd-bartolommeo-(fra),"(13703, 530)",11,"[69, 0]"
1031,100,[franco/flemish school],"[1519.0, 1780.0]",[franco],"[1597.0, 1597.0]",0,artuk_franco/flemish school,rijks_rjgd-franco,"(13709, 1382)",16,"[78.0, 183.0]"
1032,100,"[gerbier d'ouvilly, balthasar, gerbier d'ouvilly, balthazar, ouvilly, balthasar gerbier d', gherbier, baldassarre, gerbier, balthasar, gerbier, balthazar]","[1592, 1663]","[balthasar gerbier, gerbier, balthasar]","[1593, 1667]",1,"artuk_gerbier d'ouvilly, balthazar, (1592-1663)",rijks_rjgd-balthasar-gerbier,"(13835, 479)",3,"[1, 4]"
