,"score","names_wiki+googleart+wga","dates_wiki+googleart+wga","names_meisterwerke","dates_meisterwerke","is_same","artist_id_wiki+googleart+wga","artist_id_meisterwerke","idx","total_works_count","year_diff"
0,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[canaletto (ii) (werkstatt)]","[1750.0, 1750.0]",1,"wiki_canaletto","meisterwerke_canaletto (ii) (werkstatt)","(298, 295)",447,"[53.0, 18.0]"
1,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[canaletto (i)]","[1723.0, 1766.0]",0,"wiki_canaletto","meisterwerke_canaletto (i)","(298, 293)",547,"[26.0, 2.0]"
2,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[canaletto (ii)]","[1740.0, 1779.0]",0,"wiki_canaletto","meisterwerke_canaletto (ii)","(298, 294)",583,"[43.0, 11.0]"
3,100,"[dieric bouts, dirk bouts]","[1415, 1577.0]","[bouts, dieric]","[1450.0, 1475.0]",0,"googleart_m07z_y1","meisterwerke_bouts, dieric","(469, 225)",69,"[35.0, 102.0]"
4,100,"[dieric bouts, dirk bouts]","[1415, 1577.0]","[bouts, dieric (nachfolger)]","[1500.0, 1500.0]",1,"googleart_m07z_y1","meisterwerke_bouts, dieric (nachfolger)","(469, 226)",56,"[85.0, 77.0]"
5,100,"[lippi, fra filippo, fra' filippo lippi, filippo lippi]","[1406, 1469]","[lippi, fra filippo (und gehilfen)]","[1450.0, 1450.0]",1,"googleart_m03kb6h","meisterwerke_lippi, fra filippo (und gehilfen)","(617, 1070)",272,"[44.0, 19.0]"
6,100,"[lippi, fra filippo, fra' filippo lippi, filippo lippi]","[1406, 1469]","[lippi, fra filippo]","[1426.0, 1489.0]",1,"googleart_m03kb6h","meisterwerke_lippi, fra filippo","(617, 1069)",416,"[20.0, 20.0]"
7,100,"[vasari, giorgio, giorgio vasari]","[1511, 1574]","[vasari, giorgio (gehilfen)]","[1550.0, 1550.0]",1,"googleart_m0pvnq","meisterwerke_vasari, giorgio (gehilfen)","(775, 2026)",245,"[39.0, 24.0]"
8,100,"[vasari, giorgio, giorgio vasari]","[1511, 1574]","[vasari, giorgio]","[1540.0, 1566.0]",1,"googleart_m0pvnq","meisterwerke_vasari, giorgio","(775, 2025)",245,"[29.0, 8.0]"
9,100,"[giotto, giotto di bondone]","[1266, 1337]","[giotto di bondone]","[1294.0, 1350.0]",1,"googleart_m0kp91","meisterwerke_giotto di bondone","(777, 660)",924,"[28.0, 13.0]"
