,"score","names_wiki+googleart","dates_wiki+googleart","names_wga","dates_wga","is_same","artist_id_wiki+googleart","artist_id_wga","idx","Unnamed: 10"
0,100,"[caravaggio, michelangelo merisi da caravaggio]","[1571, 1610]","[cecco del caravaggio]","[1610.0, 1650.0]",0,"googleart_m020bg","wga_cecco del caravaggio, (1610-1610)","(300, 721)",
1,100,"[ambrosius bosschaert, ambrosius bosschaerts the elder]","[1573, 1621]","[bosschaert, ambrosius the younger]","[1609, 1645]",0,"googleart_m0zxv","wga_bosschaert, ambrosius the younger, (1609-1645)","(5062, 440)",
2,100,"[corrado giaquinto]","[1703, 1765]","[giaquinto, corrado]","[1703, 1766]",1,"googleart_m059k72","wga_giaquinto, corrado, (1703-1766)","(3527, 1410)",
3,100,"[joos van cleve]","[1485, 1541]","[cleve, joos van]","[1485, 1540]",1,"googleart_m0gp54j","wga_cleve, joos van, (1485-1540)","(4500, 791)",
4,100,"[carlo dolci]","[1616, 1686]","[dolci, carlo]","[1616, 1687]",1,"googleart_m01gb6v","wga_dolci, carlo, (1616-1687)","(2446, 1049)",
5,100,"[joseph duplessis, joseph siffred duplessis]","[1725, 1801]","[duplessis, joseph-siffred]","[1725, 1802]",1,"googleart_m0g4z6c","wga_duplessis, joseph-siffred, (1725-1802)","(4455, 1104)",
6,100,"[carle vernet]","[1758, 1835]","[vernet, carle]","[1758, 1836]",1,"googleart_m03_p94","wga_vernet, carle, (1758-1836)","(2955, 4504)",
7,100,"[jean (jehan) fouquet, jean fouquet]","[1420, 1481]","[fouquet, jean]","[1420, 1480]",1,"wiki_jean-fouquet","wga_fouquet, jean, (1420-1480)","(1076, 1265)",
8,100,"[biagio d'antonio]","[1446, 1516]","[biagio d'antonio]","[1446, 1515]",1,"googleart_m03cs7fm","wga_biagio d'antonio, (1446-1515)","(3021, 327)",
9,100,"[catharina van hemessen]","[1528, 1588]","[hemessen, catharina van]","[1528, 1587]",1,"googleart_m0928s2","wga_hemessen, catharina van, (1528-1587)","(4040, 1686)",
10,100,"[ștefan luchian, stefan luchian]","[1868, 1917]","[luchian, ªtefan]","[1868, 1916]",1,"wiki_stefan-luchian","wga_luchian, ªtefan, (1868-1916)","(2018, 2159)",
11,100,"[piero di cosimo, piero di cosimo (piero di lorenzo)]","[1462, 1522]","[piero di cosimo]","[1462, 1521]",1,"wiki_piero-di-cosimo","wga_piero di cosimo, (1462-1521)","(1776, 3259)",
