,score,names_wiki+googleart+wga+meisterwerke,dates_wiki+googleart+wga+meisterwerke,names_moma,dates_moma,is_same,artist_id_wiki+googleart+wga+meisterwerke,artist_id_moma,idx,total_works_count,year_diff
143.0,86.0,[john dolan],"[1971, 2099]",[john divola],"[1949, 2099]",0,googleart_m0100pcct,moma_mdvt-john-divola-1558,"(2453, 5554)",3.0,"[22, 0]"
144.0,88.0,[li hongbo],"[1974, 2099]",[li hong],"[1940, 2099]",0,googleart_m010lqd_w,moma_mdvt-li-hong-35551,"(2458, 6700)",3.0,"[34, 0]"
81.0,100.0,[howard hodgkin],"[1932, 2099]",[howard hodgkin],"[1932, 2017]",1,googleart_m019h1v,moma_mdvt-howard-hodgkin-2679,"(995, 4584)",30.0,"[0, 82]"
349.0,85.0,"[christopher ofili, chris ofili]","[1968, 2099]",[christopher orr],"[1967, 2099]",0,googleart_m01b_88,moma_mdvt-christopher-orr-28745,"(1840, 380)",23.0,"[1, 0]"
352.0,85.0,"[christopher ofili, chris ofili]","[1968, 2099]",[christopher wool],"[1955, 2099]",0,googleart_m01b_88,moma_mdvt-christopher-wool-6448,"(1846, 380)",46.0,"[13, 0]"
346.0,86.0,"[christopher ofili, chris ofili]","[1968, 2099]",[christopher giglio],"[1964, 2099]",0,googleart_m01b_88,moma_mdvt-christopher-giglio-8500,"(1832, 380)",21.0,"[4, 0]"
110.0,84.0,"[николай  рерих, nicholas roerich]","[1874, 1947]",[nicholas ház],"[1883, 1953]",0,googleart_m01fpf6,moma_mdvt-nicholas-ház-2559,"(1709, 8129)",1879.0,"[9, 6]"
133.0,100.0,"[thomas john ""tom"" thomson, tom thomson]","[1877, 1917]",[john thomson],"[1837, 1921]",0,googleart_m01qc1n,moma_mdvt-john-thomson-5863,"(2201, 5690)",25.0,"[40, 4]"
451.0,90.0,[john piper],"[1903, 1992]",[john opper],"[1908, 1994]",0,googleart_m0253jw,moma_mdvt-john-opper-4419,"(5651, 2592)",3.0,"[5, 2]"
145.0,100.0,[everett shinn],"[1876, 1953]",[everett shinn],"[1873, 1953]",1,googleart_m0265153,moma_mdvt-everett-shinn-5401,"(2612, 3114)",3.0,"[3, 0]"
146.0,100.0,[uche okeke],"[1933, 2099]",[uche okeke],"[1933, 2016]",1,googleart_m026tzyg,moma_mdvt-uche-okeke-47956,"(2660, 10866)",10.0,"[0, 83]"
147.0,84.0,[william henry hunt],"[1790, 1864]",[william henry pigou],"[1818, 1858]",0,googleart_m02q1d1,moma_mdvt-william-henry-pigou-7031,"(2792, 11360)",6.0,"[28, 6]"
148.0,88.0,"[solomon, solomon joseph, solomon joseph solomon, solomon, solomon j.]","[1860, 1927]",[solomon d. butcher],"[1856, 1927]",0,googleart_m02r5z_b,moma_mdvt-solomon-d.-butcher-895,"(2859, 10175)",7.0,"[4, 0]"
518.0,90.0,[peter saul],"[1934, 2099]",[peter paul],"[1970.0, 1970.0]",0,googleart_m02rbn48,moma_mdvt-peter-paul-4522,"(8776, 2867)",6.0,"[36.0, 129.0]"
149.0,100.0,[calvert jones],"[1804, 1877]",[calvert richard jones],"[1802, 1877]",1,googleart_m02rq0z4,moma_mdvt-calvert-richard-jones-7669,"(2877, 1444)",0.0,"[2, 0]"
150.0,100.0,[bob thompson],"[1937, 1966]",[bob thompson],"[1937, 1965]",1,googleart_m02vlvj6,moma_mdvt-bob-thompson-5858,"(2892, 1288)",4.0,"[0, 1]"
151.0,100.0,[josé luis cuevas],"[1934, 2099]",[josé luis cuevas],"[1934, 2017]",1,googleart_m02xqgj,moma_mdvt-josé-luis-cuevas-1325,"(2947, 5900)",29.0,"[0, 82]"
41.0,100.0,"[elaine marie catherine fried, elaine de kooning]","[1918, 1989]",[elaine de kooning],"[1920, 1989]",1,googleart_m0343gd,moma_mdvt-elaine-de-kooning-3212,"(566, 2748)",43.0,"[2, 0]"
102.0,100.0,"[maurice brazil prendergast, maurice prendergast, prendergast, maurice brazil]","[1858, 1924]",[maurice prendergast],"[1859, 1924]",1,googleart_m039zxc,moma_mdvt-maurice-prendergast-4727,"(1600, 7557)",424.0,"[1, 0]"
152.0,100.0,[howard chandler christy],"[1873, 1952]",[howard chandler christy],"[1872, 1952]",1,googleart_m03cmpp,moma_mdvt-howard-chandler-christy-1116,"(3049, 4576)",10.0,"[1, 0]"
153.0,100.0,[henri lebasque],"[1865, 1937]",[henri lebasque],"[1865, 1947]",1,googleart_m03nx1p1,moma_mdvt-henri-lebasque-40746,"(3217, 4404)",4.0,"[0, 10]"
445.0,92.0,"[john t. biggers, biggers, john thomas, biggers, john t.]","[1924, 2001]",[john d. thomas],"[1937, 1947]",0,googleart_m042mhs,moma_mdvt-john-d.-thomas-8448,"(5550, 3276)",5.0,"[13, 54]"
30.0,100.0,"[bill traylor, william ""bill"" traylor]","[1854, 1949]",[bill traylor],"[1854, 1947]",1,googleart_m04_lfd,moma_mdvt-bill-traylor-7464,"(288, 1229)",55.0,"[0, 2]"
154.0,100.0,[johannes larsen],"[1867, 1961]",[johannes larsen],"[1912, 1922]",1,googleart_m04ct3cl,moma_mdvt-johannes-larsen-3391,"(3325, 5491)",4.0,"[45, 39]"
91.0,100.0,"[kazimir malevich, казимир малевич (kazimierz malewicz)]","[1879, 1935]",[kazimir malevich],"[1878, 1935]",1,googleart_m04dvd,moma_mdvt-kazimir-malevich-3710,"(1351, 6233)",368.0,"[1, 0]"
155.0,100.0,[okuda],"[2014.0, 2014.0]",[noriyuki okuda],"[1940, 2099]",1,googleart_m04vvyq6,moma_mdvt-noriyuki-okuda-35588,"(3436, 8231)",8.0,"[74.0, 85.0]"
561.0,87.0,[kara walker],"[1969, 2099]",[sarah walker],"[1963, 2099]",0,googleart_m04zfgb,moma_mdvt-sarah-walker-28848,"(9905, 3461)",48.0,"[6, 0]"
156.0,84.0,"[krohg, christian, christian krohg]","[1852, 1925]",[christian rohlfs],"[1849, 1938]",0,googleart_m05gkhg,moma_mdvt-christian-rohlfs-5000,"(3568, 1804)",102.0,"[3, 13]"
157.0,100.0,[paul ranson],"[1864, 1909]",[paul ranson],"[1862, 1909]",1,googleart_m05gvqk,moma_mdvt-paul-ranson-4814,"(3569, 8601)",5.0,"[2, 0]"
83.0,100.0,"[γιάννης κουνέλλης, jannis kounellis]","[1936, 2099]",[jannis kounellis],"[1936, 2017]",1,googleart_m05p18h,moma_mdvt-jannis-kounellis-3230,"(1112, 5093)",30.0,"[0, 82]"
158.0,85.0,[peter brandes],"[1944, 2099]",[peter bradley],"[1940, 2099]",0,googleart_m05q3tq2,moma_mdvt-peter-bradley-8293,"(3618, 8716)",3.0,"[4, 0]"
159.0,97.0,[waldemar świerzy],"[1931, 2013]",[waldemar swierzy],"[1931, 2099]",1,googleart_m06zn0m5,moma_mdvt-waldemar-swierzy-5753,"(3745, 11120)",9.0,"[0, 86]"
42.0,100.0,[ellsworth kelly],"[1923, 2099]",[ellsworth kelly],"[1923, 2015]",1,googleart_m07sk_z,moma_mdvt-ellsworth-kelly-3048,"(570, 2810)",347.0,"[0, 84]"
160.0,100.0,[emilio vedova],"[1919, 2006]",[emilio vedova],"[1919, 1995]",1,googleart_m08gdyk,moma_mdvt-emilio-vedova-6119,"(3960, 2861)",7.0,"[0, 11]"
161.0,85.44,[alberto savinio],"[1891, 1952]",[alberto sani],"[1900, 1964]",0,googleart_m08tlmw,moma_mdvt-alberto-sani-5154,"(3986, 251)",5.0,"[9, 12]"
4.0,100.0,"[albín brunovský, albin brunovsky]","[1935, 1997]",[albin brunovsky],"[1979.0, 1979.0]",1,googleart_m08yzr_,moma_mdvt-albin-brunovsky-831,"(65, 253)",23.0,"[44.0, 18.0]"
124.0,100.0,"[renato guttuso, aldo renato guttuso]","[1911, 1987]",[renato guttuso],"[1912, 1987]",1,googleart_m09s0_x,moma_mdvt-renato-guttuso-2423,"(1935, 9163)",48.0,"[1, 0]"
48.0,100.0,"[françois morellet, francois morellet]","[1926, 2099]",[françois morellet],"[1926, 2016]",1,googleart_m0byvrn,moma_mdvt-françois-morellet-4083,"(685, 3419)",36.0,"[0, 83]"
162.0,100.0,[robert moskowitz],"[1935, 2001]",[robert moskowitz],"[1935, 2099]",1,googleart_m0czf_4,moma_mdvt-robert-moskowitz-4122,"(4278, 9484)",12.0,"[0, 98]"
163.0,100.0,[jr],"[1983, 2099]","[john f. simon, jr.]","[1963, 2099]",0,googleart_m0dgq66j,"moma_mdvt-john-f.-simon,-jr.-25966","(4305, 5561)",33.0,"[20, 0]"
166.0,100.0,[jr],"[1983, 2099]",[chester higgins jr.],"[1946, 2099]",0,googleart_m0dgq66j,moma_mdvt-chester-higgins-jr.-2636,"(4305, 1743)",33.0,"[37, 0]"
164.0,100.0,[jr],"[1983, 2099]","[henry wessel, jr.]","[1942, 2099]",0,googleart_m0dgq66j,"moma_mdvt-henry-wessel,-jr.-6317","(4305, 4446)",33.0,"[41, 0]"
168.0,100.0,[jr],"[1983, 2099]","[victor masayesva, jr.]","[1951, 2099]",0,googleart_m0dgq66j,"moma_mdvt-victor-masayesva,-jr.-34926","(4305, 11004)",33.0,"[32, 0]"
165.0,100.0,[jr],"[1983, 2099]",[edward g. sutt jr.],"[1968, 2099]",0,googleart_m0dgq66j,moma_mdvt-edward-g.-sutt-jr.-28977,"(4305, 2689)",33.0,"[15, 0]"
167.0,100.0,[jr],"[1983, 2099]","[john a. jenkins, jr.]","[1966, 2099]",0,googleart_m0dgq66j,"moma_mdvt-john-a.-jenkins,-jr.-29536","(4305, 5500)",33.0,"[17, 0]"
169.0,100.0,[swoon],"[1978, 2099]",[swoon],"[1977, 2099]",1,googleart_m0f5ns5,moma_mdvt-swoon-28997,"(4338, 10425)",14.0,"[1, 0]"
