,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wga","artist_id_artuk",
27,90,"[claesz., anthony ii]","[1607, 1649]","[claesz. the younger, anthony]","[1616, 1652]",0,"claesz., anthony ii, (1607-1649)","claesz. the younger, anthony, (1616-1652)",
92,90,"[krohg, christian]","[1852, 1925]","[christian, j.]","[1897.0, 1897.0]",0,"krohg, christian, (1852-1925)","christian, j.",
21,90,"[bramer, leonaert]","[1596, 1674]","[bramer, leonard]","[1596, 1674]",1,"bramer, leonaert, (1596-1674)","bramer, leonard, (1596-1674)",
34,90,"[crescenzi, giovanni battista]","[1577, 1635]","[crespi, giovanni battista]","[1575, 1632]",0,"crescenzi, giovanni battista, (1577-1635)","crespi, giovanni battista, (1575-1632)",
41,90,"[eckardt, christian frederik emil]","[1832, 1914]","[christian, j.]","[1897.0, 1897.0]",0,"eckardt, christian frederik emil, (1832-1914)","christian, j.",
14,90,"[bocanegra, pedro anastasio]","[1638, 1689]","[bocanegra, pedro atanasio]","[1638, 1689]",1,"bocanegra, pedro anastasio, (1638-1689)","bocanegra, pedro atanasio, (1638-1689)",
176,90,"[swanenburg, isaac claesz. van]","[1537, 1614]","[swanenburgh, isaac claesz.]","[1537, 1614]",1,"swanenburg, isaac claesz. van, (1537-1614)","swanenburgh, isaac claesz., (1537-1614)",
124,90,"[nattier, jean-baptiste]","[1678, 1726]","[pater, jean-baptiste]","[1695, 1736]",0,"nattier, jean-baptiste, (1678-1726)","pater, jean-baptiste, (1695-1736)",
184,90,"[trotti, giovanni battista]","[1555, 1619]","[zelotti, giovanni battista]","[1526, 1578]",0,"trotti, giovanni battista, (1555-1619)","zelotti, giovanni battista, (1526-1578)",
193,90,"[verelst, william]","[1732, 1756]","[verelst, willem]","[1700, 1756]",1,"verelst, william, (1732-1756)","verelst, willem, (1700-1756)",
8,90,"[barraud, william]","[1810, 1850]","[artaud, william]","[1763, 1823]",0,"barraud, william, (1810-1850)","artaud, william, (1763-1823)",
51,90,"[franchi, antonio]","[1638, 1709]","[zanchi, antonio]","[1631, 1722]",0,"franchi, antonio, (1638-1709)","zanchi, antonio, (1631-1722)",
153,90,"[rohlfs, christian]","[1849, 1938]","[christian, j.]","[1897.0, 1897.0]",0,"rohlfs, christian, (1849-1938)","christian, j.",
133,90,"[oosterwijk, maria van]","[1630, 1693]","[van oosterwyck, maria]","[1630, 1693]",1,"oosterwijk, maria van, (1630-1693)","van oosterwyck, maria, (1630-1693)",
149,90,"[reinhart, johann christian]","[1761, 1847]","[christian, j.]","[1897.0, 1897.0]",0,"reinhart, johann christian, (1761-1847)","christian, j.",
138,90,"[patenier, joachim]","[1480, 1524]","[patinir, joachim]","[1480, 1524]",1,"patenier, joachim, (1480-1524)","patinir, joachim, (1480-1524)",
60,90,"[ghissi, francescuccio]","[1359, 1395]","[ghissi, francescussio]","[1359, 1395]",1,"ghissi, francescuccio, (1359-1395)","ghissi, francescussio, (1359-1395)",
140,90,"[pereda, antonio de]","[1611, 1678]","[pereda y salgado, antonio]","[1611, 1678]",1,"pereda, antonio de, (1611-1678)","pereda y salgado, antonio, (1611-1678)",
129,90,"[nonnotte, donat]","[1708, 1785]","[nonnotte, donatien]","[1708, 1785]",1,"nonnotte, donat, (1708-1785)","nonnotte, donatien, (1708-1785)",
101,91,"[leys, henri]","[1815, 1869]","[leys, hendrik]","[1815, 1869]",1,"leys, henri, (1815-1869)","leys, hendrik, (1815-1869)",
85,91,"[isenbrant, adriaen]","[1490, 1551]","[ysenbrandt, adriaen]","[1500, 1551]",1,"isenbrant, adriaen, (1490-1551)","ysenbrandt, adriaen, (1500-1551)",
188,91,"[velde, jan jansz. van de]","[1619, 1662]","[van de velde ii, jan]","[1593, 1641]",0,"velde, jan jansz. van de, (1619-1662)","van de velde ii, jan, (1593-1641)",
36,91,"[dijck, abraham van]","[1635, 1680]","[van dyck, abraham]","[1635, 1672]",1,"dijck, abraham van, (1635-1680)","van dyck, abraham, (1635-1672)",
35,91,"[dijck, abraham van]","[1635, 1672]","[van dyck, abraham]","[1635, 1672]",1,"dijck, abraham van, (1635-1672)","van dyck, abraham, (1635-1672)",
100,91,"[lampi, johann baptist ii]","[1775, 1837]","[lampi i, johann battista]","[1751, 1830]",0,"lampi, johann baptist ii, (1775-1837)","lampi i, johann battista, (1751-1830)",
43,91,"[eriksen, vigilius]","[1722, 1783]","[erichsen, vigilius]","[1722, 1783]",1,"eriksen, vigilius, (1722-1783)","erichsen, vigilius, (1722-1783)",
144,91,"[predis, ambrogio de]","[1455, 1508]","[predis, giovanni ambrogio]","[1455, 1508]",1,"predis, ambrogio de, (1455-1508)","predis, giovanni ambrogio, (1455-1508)",
19,91,"[bout, pieter]","[1658, 1719]","[bout, peeter]","[1658, 1719]",1,"bout, pieter, (1658-1719)","bout, peeter, (1658-1719)",
