,score,names_wiki+googleart,dates_wiki+googleart,names_wga,dates_wga,is_same,artist_id_wiki+googleart,artist_id_wga,idx
0.0,100.0,"[caravaggio, michelangelo merisi da caravaggio]","[1571, 1610]",[cecco del caravaggio],"[1610.0, 1650.0]",0,caravaggio,"cecco del caravaggio, (1610-1610)","(300, 721)"
1.0,100.0,"[ambrosius bosschaert, ambrosius bosschaerts the elder]","[1573, 1621]","[bosschaert, ambrosius the younger]","[1609, 1645]",0,m0zxv,"bosschaert, ambrosius the younger, (1609-1645)","(5062, 440)"
2.0,100.0,[corrado giaquinto],"[1703, 1765]","[giaquinto, corrado]","[1703, 1766]",1,m059k72,"giaquinto, corrado, (1703-1766)","(3527, 1410)"
3.0,100.0,[joos van cleve],"[1485, 1541]","[cleve, joos van]","[1485, 1540]",1,m0gp54j,"cleve, joos van, (1485-1540)","(4500, 791)"
4.0,100.0,[carlo dolci],"[1616, 1686]","[dolci, carlo]","[1616, 1687]",1,m01gb6v,"dolci, carlo, (1616-1687)","(2446, 1049)"
5.0,100.0,"[joseph duplessis, joseph siffred duplessis]","[1725, 1801]","[duplessis, joseph-siffred]","[1725, 1802]",1,m0g4z6c,"duplessis, joseph-siffred, (1725-1802)","(4455, 1104)"
6.0,100.0,[carle vernet],"[1758, 1835]","[vernet, carle]","[1758, 1836]",1,m03_p94,"vernet, carle, (1758-1836)","(2955, 4504)"
7.0,100.0,"[jean (jehan) fouquet, jean fouquet]","[1420, 1481]","[fouquet, jean]","[1420, 1480]",1,m036v9j,"fouquet, jean, (1420-1480)","(1076, 1265)"
8.0,100.0,[biagio d'antonio],"[1446, 1516]",[biagio d'antonio],"[1446, 1515]",1,m03cs7fm,"biagio d'antonio, (1446-1515)","(3021, 327)"
9.0,100.0,[catharina van hemessen],"[1528, 1588]","[hemessen, catharina van]","[1528, 1587]",1,m0928s2,"hemessen, catharina van, (1528-1587)","(4040, 1686)"
10.0,100.0,"[ștefan luchian, stefan luchian]","[1868, 1917]","[luchian, ªtefan]","[1868, 1916]",1,stefan-luchian,"luchian, ªtefan, (1868-1916)","(2018, 2159)"
11.0,100.0,"[piero di cosimo, piero di cosimo (piero di lorenzo)]","[1462, 1522]",[piero di cosimo],"[1462, 1521]",1,m01gvzz,"piero di cosimo, (1462-1521)","(1776, 3259)"
12.0,100.0,[jacob gerritsz. cuyp],"[1594, 1652]","[cuyp, jacob gerritsz.]","[1594, 1651]",1,m08ff2n,"cuyp, jacob gerritsz., (1594-1651)","(3993, 946)"
13.0,100.0,"[johann heinrich schönfeld, heinrich schonfeld]","[1609, 1684]","[schönfeld, johann heinrich]","[1609, 1683]",1,heinrich-schonfeld,"schönfeld, johann heinrich, (1609-1683)","(879, 3775)"
14.0,100.0,[david vinckboons],"[1576, 1632]","[vinckboons, david]","[1576, 1633]",1,m08b45y,"vinckboons, david, (1576-1633)","(3969, 4545)"
15.0,100.0,"[jan peeters i, gaspar bouttats, jan peeters (i)]","[1624, 1677]","[peeters, jan]","[1624, 1678]",1,m07s3lk7,"peeters, jan, (1624-1678)","(3891, 3200)"
16.0,100.0,"[attributed to corneille de lyon, corneille de lyon]","[1500, 1575]",[corneille de lyon],"[1500, 1574]",1,m065wtb,"corneille de lyon, (1500-1574)","(3702, 858)"
17.0,100.0,[petrus christus],"[1410, 1476]","[christus, petrus]","[1410, 1475]",1,petrus-christus,"christus, petrus, (1410-1475)","(1766, 757)"
18.0,100.0,[baldassare peruzzi],"[1481, 1537]","[peruzzi, baldassare]","[1481, 1536]",1,m05xd6n,"peruzzi, baldassare, (1481-1536)","(3649, 3225)"
19.0,100.0,"[jan both, andries both]","[1612, 1642]","[both, andries]","[1612, 1641]",1,m051yg8,"both, andries, (1612-1641)","(3483, 446)"
20.0,100.0,"[bartolomé bermejo, bartolomé de cárdenas, bartolome bermejo]","[1440, 1501]","[bermejo, bartolomé]","[1440, 1500]",1,bartolome-bermejo,"bermejo, bartolomé, (1440-1500)","(231, 302)"
21.0,100.0,[nicolas tournier],"[1590, 1639]","[tournier, nicolas]","[1590, 1638]",1,nicolas-tournier,"tournier, nicolas, (1590-1638)","(1634, 4053)"
22.0,100.0,"[andrea solario (solari), andrea solario]","[1460, 1524]","[solario, andrea]","[1460, 1525]",1,andrea-solario,"solario, andrea, (1460-1525)","(135, 3853)"
23.0,100.0,[lorenzo lotto],"[1480, 1557]","[lotto, lorenzo]","[1480, 1556]",1,m01wr8s,"lotto, lorenzo, (1480-1556)","(1386, 2151)"
24.0,100.0,[jan baptist weenix],"[1621, 1659]","[weenix, jan baptist]","[1621, 1660]",1,m03fzgj,"weenix, jan baptist, (1621-1660)","(3095, 4627)"
25.0,100.0,[joos de momper],"[1564, 1635]","[momper, joos de]","[1564, 1634]",1,m027whwf,"momper, joos de, (1564-1634)","(2655, 2901)"
26.0,100.0,[pieter brueghel the younger],"[1564, 1636]","[brueghel, pieter the younger]","[1564, 1638]",1,m0h6m9,"brueghel, pieter the younger, (1564-1638)","(4565, 544)"
27.0,100.0,[hans leonhard schäufelein],"[1480, 1540]","[schäufelein, hans leonhard]","[1480, 1538]",1,m0fg5zr,"schäufelein, hans leonhard, (1480-1538)","(4417, 3771)"
28.0,100.0,"[matthias stomer, matthias stom]","[1600, 1652]","[stom, matthias]","[1600, 1650]",1,matthias-stom,"stom, matthias, (1600-1650)","(1515, 3913)"
29.0,100.0,"[nicolaes eliasz. pickenoy, nicolaes pickenoy]","[1588, 1656]","[pickenoy, nicolaes eliasz.]","[1588, 1654]",1,m02x3z7k,"pickenoy, nicolaes eliasz., (1588-1654)","(2890, 3252)"
30.0,100.0,[adam van breen],"[1585, 1640]","[breen, adam van]","[1585, 1642]",1,m0t50c06,"breen, adam van, (1585-1642)","(4742, 503)"
